 AOU_Code,step,run,result,select,all_sca
BAWW,1,no,,,F
BCCH,1,no,,,F
BHVI,1,no,,,F
BLBW,1,no,,,F
BRCR,1,no,,,F
BTBW,1,no,,,F
BTNW,1,no,,,F
DOWO,1,no,,,F
HAWO,1,no,,,F
HETH,1,no,,,F
OVEN,1,no,,,F
REVI,1,no,,,F
SCTA,1,no,,,F
VEER,1,no,,,F
WBNU,1,no,,,F
WOTH,1,no,,,F
YBSA,1,no,,,F
BAWW,era2,no,BAWW_step1_output_2025_09_24run1,BAWW_step1_output_2025_09_24run1_25_75_SCA_SEL_PARS,T
BCCH,era2,no,BCCH_step1_output_2025_09_24run1,BCCH_step1_output_2025_09_24run1_25_75_SCA_SEL_PARS,T
BHVI,era2,no,BHVI_step1_output_2025_09_25run1,BHVI_step1_output_2025_09_25run1_25_75_SCA_SEL_PARS,T
BLBW,era2,no,BLBW_step1_output_2025_09_25run1,BLBW_step1_output_2025_09_25run1_25_75_SCA_SEL_PARS,T
BRCR,era2,no,BRCR_step1_output_2025_09_25run1,BRCR_step1_output_2025_09_25run1_25_75_SCA_SEL_PARS,T
BTBW,era2,no,BTBW_step1_output_2025_09_26run1,BTBW_step1_output_2025_09_26run1_25_75_SCA_SEL_PARS,T
BTNW,era2,no,BTNW_step1_output_2025_09_26run1,BTNW_step1_output_2025_09_26run1_25_75_SCA_SEL_PARS,T
DOWO,era2,no,DOWO_step1_output_2025_09_27run1,DOWO_step1_output_2025_09_27run1_25_75_SCA_SEL_PARS,T
HAWO,era2,no,HAWO_step1_output_2025_09_28run1,HAWO_step1_output_2025_09_28run1_25_75_SCA_SEL_PARS,T
HETH,era2,no,HETH_step1_output_2025_09_28run1,HETH_step1_output_2025_09_28run1_25_75_SCA_SEL_PARS,T
OVEN,era2,no,OVEN_step1_output_2025_09_30run1,OVEN_step1_output_2025_09_30run1_25_75_SCA_SEL_PARS,T
REVI,era2,no,REVI_step1_output_2025_10_01run1,REVI_step1_output_2025_10_01run1_25_75_SCA_SEL_PARS,T
SCTA,era2,no,SCTA_step1_output_2025_10_02run1,SCTA_step1_output_2025_10_02run1_25_75_SCA_SEL_PARS,T
VEER,era2,no,VEER_step1_output_2025_10_02run1,VEER_step1_output_2025_10_02run1_25_75_SCA_SEL_PARS,T
WBNU,era2,no,WBNU_step1_output_2025_10_03run1,WBNU_step1_output_2025_10_03run1_25_75_SCA_SEL_PARS,T
WOTH,era2,no,WOTH_step1_output_2025_10_03run1,WOTH_step1_output_2025_10_03run1_25_75_SCA_SEL_PARS,T
YBSA,era2,no,YBSA_step1_output_2025_10_04run1,YBSA_step1_output_2025_10_04run1_25_75_SCA_SEL_PARS,T
BAWW,era2,no,BAWW_step1_output_2025_11_14run1,BAWW_step1_output_2025_11_14run1_3_7_SCA_SEL_PARS,new models
BCCH,era2,no,BCCH_step1_output_2025_11_15run1,BCCH_step1_output_2025_11_15run1_3_7_SCA_SEL_PARS,new models
BHVI,era2,no,BHVI_step1_output_2025_11_15run1,BHVI_step1_output_2025_11_15run1_3_7_SCA_SEL_PARS,new models
BLBW,era2,no,BLBW_step1_output_2025_11_15run1,BLBW_step1_output_2025_11_15run1_3_7_SCA_SEL_PARS,new models
BRCR,era2,no,BRCR_step1_output_2025_11_15run1,BRCR_step1_output_2025_11_15run1_3_7_SCA_SEL_PARS,new models
BTBW,era2,no,BTBW_step1_output_2025_11_16run1,BTBW_step1_output_2025_11_16run1_3_7_SCA_SEL_PARS,new models
BTNW,era2,no,BTNW_step1_output_2025_11_16run1,BTNW_step1_output_2025_11_16run1_3_7_SCA_SEL_PARS,new models
DOWO,era2,no,DOWO_step1_output_2025_11_16run1,DOWO_step1_output_2025_11_16run1_3_7_SCA_SEL_PARS,new models
HAWO,era2,no,HAWO_step1_output_2025_11_17run1,HAWO_step1_output_2025_11_17run1_3_7_SCA_SEL_PARS,new models
HETH,era2,no,HETH_step1_output_2025_09_28run1,HETH_step1_output_2025_09_28run1_3_7_SCA_SEL_PARS,old
OVEN,era2,no,OVEN_step1_output_2025_09_30run1,OVEN_step1_output_2025_09_30run1_3_7_SCA_SEL_PARS,old
REVI,era2,no,REVI_step1_output_2025_10_01run1,REVI_step1_output_2025_10_01run1_3_7_SCA_SEL_PARS,old
SCTA,era2,no,SCTA_step1_output_2025_10_02run1,SCTA_step1_output_2025_10_02run1_3_7_SCA_SEL_PARS,old
VEER,era2,no,VEER_step1_output_2025_10_02run1,VEER_step1_output_2025_10_02run1_3_7_SCA_SEL_PARS,old
WBNU,era2,no,WBNU_step1_output_2025_10_03run1,WBNU_step1_output_2025_10_03run1_3_7_SCA_SEL_PARS,old
WOTH,era2,no,WOTH_step1_output_2025_10_03run1,WOTH_step1_output_2025_10_03run1_3_7_SCA_SEL_PARS,old
YBSA,era2,no,YBSA_step1_output_2025_10_04run1,YBSA_step1_output_2025_10_04run1_3_7_SCA_SEL_PARS,old
BAWW,era3,no,BAWW_step2_output_2025_09_15run1,BAWW_step1_output_2025_09_14run1_25_75_SCA_SEL_PARS,
BCCH,era3,no,BCCH_step2_output_2025_09_15run1,BCCH_step1_output_2025_09_14run1_25_75_SCA_SEL_PARS,
BHVI,era3,no,BHVI_step2_output_2025_09_15run1,BHVI_step1_output_2025_09_15run1_25_75_SCA_SEL_PARS,
BLBW,era3,no,BLBW_step2_output_2025_09_15run1,BLBW_step1_output_2025_09_15run1_25_75_SCA_SEL_PARS,
BRCR,era3,no,BRCR_step2_output_2025_09_15run1,BRCR_step1_output_2025_09_14run1_25_75_SCA_SEL_PARS,
BTBW,era3,no,BTBW_step2_output_2025_09_15run1,BTBW_step1_output_2025_09_14run1_25_75_SCA_SEL_PARS,
BTNW,era3,no,BTNW_step2_output_2025_09_15run1,BTNW_step1_output_2025_09_15run1_25_75_SCA_SEL_PARS,
DOWO,era3,no,DOWO_step2_output_2025_09_15run1,DOWO_step1_output_2025_09_15run3_25_75_SCA_SEL_PARS,
HAWO,era3,no,HAWO_step2_output_2025_09_15run1,HAWO_step1_output_2025_09_15run1_25_75_SCA_SEL_PARS,
HETH,era3,no,HETH_step2_output_2025_09_15run1,HETH_step1_output_2025_09_15run1_25_75_SCA_SEL_PARS,
OVEN,era3,no,OVEN_step2_output_2025_09_15run1,OVEN_step1_output_2025_09_14run1_25_75_SCA_SEL_PARS,
REVI,era3,no,REVI_step2_output_2025_09_16run1,REVI_step1_output_2025_09_16run1_25_75_SCA_SEL_PARS,
SCTA,era3,no,SCTA_step2_output_2025_09_15run1,SCTA_step1_output_2025_09_15run1_25_75_SCA_SEL_PARS,
VEER,era3,no,VEER_step2_output_2025_09_16run1,VEER_step1_output_2025_09_15run1_25_75_SCA_SEL_PARS,
WBNU,era3,no,WBNU_step2_output_2025_09_15run1,WBNU_step1_output_2025_09_15run1_25_75_SCA_SEL_PARS,
WOTH,era3,no,WOTH_step2_output_2025_09_16run1,WOTH_step1_output_2025_09_15run1_25_75_SCA_SEL_PARS,
YBSA,era3,no,YBSA_step2_output_2025_09_16run1,YBSA_step1_output_2025_09_16run1_25_75_SCA_SEL_PARS,
BAWW,era3,no,BAWW_step2_output_2025_11_13run1_allsca1,BAWW_step1_output_2025_09_24run1_3_7_SCA_SEL_PARS.rds,
BCCH,era3,no,BCCH_step2_output_2025_11_13run1_allsca2,BCCH_step1_output_2025_09_24run1_3_7_SCA_SEL_PARS.rds,
BHVI,era3,no,BHVI_step2_output_2025_11_14run1_allsca1,BHVI_step1_output_2025_09_25run1_3_7_SCA_SEL_PARS.rds,
BLBW,era3,no,BLBW_step2_output_2025_11_14run1_allsca1,BLBW_step1_output_2025_09_25run1_3_7_SCA_SEL_PARS.rds,
BRCR,era3,no,BRCR_step2_output_2025_11_14run1_allsca3,BRCR_step1_output_2025_09_25run1_3_7_SCA_SEL_PARS.rds,
BTBW,era3,no,BTBW_step2_output_2025_11_14run1_allsca2,BTBW_step1_output_2025_09_26run1_3_7_SCA_SEL_PARS.rds,
BTNW,era3,no,BTNW_step2_output_2025_11_14run1_allsca1,BTNW_step1_output_2025_09_26run1_3_7_SCA_SEL_PARS.rds,
DOWO,era3,no,DOWO_step2_output_2025_11_14run1_allsca1,DOWO_step1_output_2025_09_27run1_3_7_SCA_SEL_PARS.rds,
HAWO,era3,no,HAWO_step2_output_2025_11_14run1_allsca1,HAWO_step1_output_2025_09_28run1_3_7_SCA_SEL_PARS.rds,
HETH,era3,no,HETH_step2_output_2025_11_14run1_allsca1,HETH_step1_output_2025_09_28run1_3_7_SCA_SEL_PARS.rds,
OVEN,era3,no,,OVEN_step1_output_2025_09_30run1_3_7_SCA_SEL_PARS.rds,
REVI,era3,no,,REVI_step1_output_2025_10_01run1_3_7_SCA_SEL_PARS.rds,
SCTA,era3,no,,SCTA_step1_output_2025_10_02run1_3_7_SCA_SEL_PARS.rds,
VEER,era3,no,,VEER_step1_output_2025_10_02run1_3_7_SCA_SEL_PARS.rds,
WBNU,era3,no,,WBNU_step1_output_2025_10_03run1_3_7_SCA_SEL_PARS.rds,
WOTH,era3,no,,WOTH_step1_output_2025_10_03run1_3_7_SCA_SEL_PARS.rds,
YBSA,era3,no,,YBSA_step1_output_2025_10_04run1_3_7_SCA_SEL_PARS.rds,
BAWW,era3,no,BAWW_step2_output_2025_11_11run1_allsca1,BAWW_step1_output_2025_09_24run1_3_7_SCA_SEL_PARS,
BCCH,era3,no,BCCH_step2_output_2025_11_11run1_allsca2,BCCH_step1_output_2025_09_24run1_3_7_SCA_SEL_PARS,
BHVI,era3,no,BHVI_step2_output_2025_11_11run1_allsca3,BHVI_step1_output_2025_09_25run1_3_7_SCA_SEL_PARS,
BLBW,era3,no,BLBW_step2_output_2025_11_11run4_allsca3,BLBW_step1_output_2025_09_25run1_3_7_SCA_SEL_PARS,
BRCR,era3,no,BRCR_step2_output_2025_11_11run4_allsca2,BRCR_step1_output_2025_09_25run1_3_7_SCA_SEL_PARS,
BTBW,era3,no,BTBW_step2_output_2025_11_11run4_allsca2,BTBW_step1_output_2025_09_26run1_3_7_SCA_SEL_PARS,
BTNW,era3,no,BTNW_step2_output_2025_11_11run4_allsca1,BTNW_step1_output_2025_09_26run1_3_7_SCA_SEL_PARS,
DOWO,era3,no,DOWO_step2_output_2025_11_11run1_allsca3,DOWO_step1_output_2025_09_27run1_3_7_SCA_SEL_PARS,
HAWO,era3,no,HAWO_step2_output_2025_11_11run1_allsca1,HAWO_step1_output_2025_09_28run1_3_7_SCA_SEL_PARS,
HETH,era3,no,,HETH_step1_output_2025_09_28run1_3_7_SCA_SEL_PARS,
OVEN,era3,no,OVEN_step2_output_2025_11_12run1_allsca3,OVEN_step1_output_2025_09_30run1_3_7_SCA_SEL_PARS,
REVI,era3,no,REVI_step2_output_2025_11_12run1_allsca3,REVI_step1_output_2025_10_01run1_3_7_SCA_SEL_PARS,
SCTA,era3,no,SCTA_step2_output_2025_11_12run1_allsca3,SCTA_step1_output_2025_10_02run1_3_7_SCA_SEL_PARS,
VEER,era3,no,VEER_step2_output_2025_11_12run1_allsca3,VEER_step1_output_2025_10_02run1_3_7_SCA_SEL_PARS,
WBNU,era3,no,WBNU_step2_output_2025_11_12run1_allsca3,WBNU_step1_output_2025_10_03run1_3_7_SCA_SEL_PARS,
